NumOfTicks,PacmanX,PacmanY,Ghost1Dist,Ghost2Dist,Ghost3Dist,Ghost4Dist,Ghost1X,Ghost1Y,Ghost2X,Ghost2Y,Ghost3X,Ghost3Y,Ghost4X,Ghost4Y,PacDots,Score,Action,NextScore
1,9,1,5,5,6,14,8,5,10,5,11,5,17,7,68,0,East,0
1,9,1,5,5,6,14,8,5,10,5,11,5,17,7,68,0,East,99
2,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,99,Stop,98
3,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,98,Stop,97
4,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,97,Stop,96
5,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,96,Stop,95
6,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,95,Stop,94
7,10,1,6,4,5,13,8,5,10,5,11,5,17,7,67,94,Stop,0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,East,-1
2,13,10,12,10,4,2,5,6,5,12,13,6,13,12,1,-1,North,-2
3,13,11,13,9,5,1,5,6,5,12,13,6,13,12,1,-2,North,197
4,13,12,14,8,6,-1,5,6,5,12,13,6,0,0,1,197,West,196
5,12,12,13,7,7,-1,5,6,5,12,13,6,0,0,1,196,West,195
6,11,12,12,6,8,-1,5,6,5,12,13,6,0,0,1,195,West,194
7,10,12,11,5,9,-1,5,6,5,12,13,6,0,0,1,194,West,193
8,9,12,10,4,10,-1,5,6,5,12,13,6,0,0,1,193,West,192
9,8,12,9,3,11,-1,5,6,5,12,13,6,0,0,1,192,West,191
10,7,12,8,2,12,-1,5,6,5,12,13,6,0,0,1,191,West,190
11,6,12,7,1,13,-1,5,6,5,12,13,6,0,0,1,190,West,389
12,5,12,6,-1,14,-1,5,6,0,0,13,6,0,0,1,389,South,388
13,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,388,Stop,387
14,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,387,Stop,386
15,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,386,Stop,385
16,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,385,Stop,384
17,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,384,Stop,383
18,5,11,5,-1,13,-1,5,6,0,0,13,6,0,0,1,383,Stop,0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,East,-1
2,13,10,12,10,4,2,5,6,5,12,13,6,13,12,1,-1,North,-2
3,13,11,13,9,5,1,5,6,5,12,13,6,13,12,1,-2,North,197
4,13,12,14,8,6,-1,5,6,5,12,13,6,0,0,1,197,West,196
