@relation training_kayboard

@attribute NumOfTicks numeric
@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1Dist numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {'East','North','South','Stop','West'}
@attribute NextScore numeric
@data
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'Stop',-1
2,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,-1,'Stop',-2
3,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,-2,'East',-3
4,13,10,12,10,4,2,5,6,5,12,13,6,13,12,1,-3,'North',-4
5,13,11,13,9,5,1,5,6,5,12,13,6,13,12,1,-4,'North',195
6,13,12,14,8,6,-1,5,6,5,12,13,6,0,0,1,195,'South',194
7,13,11,13,9,5,-1,5,6,5,12,13,6,0,0,1,194,'South',193
8,13,10,12,10,4,-1,5,6,5,12,13,6,0,0,1,193,'South',192
9,13,9,11,11,3,-1,5,6,5,12,13,6,0,0,1,192,'South',191
10,13,8,10,12,2,-1,5,6,5,12,13,6,0,0,1,191,'South',190
11,13,7,9,13,1,-1,5,6,5,12,13,6,0,0,1,190,'South',389
12,13,6,8,14,-1,-1,5,6,5,12,0,0,0,0,1,389,'West',388
13,12,6,7,13,-1,-1,5,6,5,12,0,0,0,0,1,388,'West',387
14,11,6,6,12,-1,-1,5,6,5,12,0,0,0,0,1,387,'West',386
15,10,6,5,11,-1,-1,5,6,5,12,0,0,0,0,1,386,'West',385
16,9,6,4,10,-1,-1,5,6,5,12,0,0,0,0,1,385,'West',384
17,8,6,3,9,-1,-1,5,6,5,12,0,0,0,0,1,384,'West',383
18,7,6,2,8,-1,-1,5,6,5,12,0,0,0,0,1,383,'West',382
19,6,6,1,7,-1,-1,5,6,5,12,0,0,0,0,1,382,'West',581
20,5,6,-1,6,-1,-1,0,0,5,12,0,0,0,0,1,581,'North',580
21,5,7,-1,5,-1,-1,0,0,5,12,0,0,0,0,1,580,'North',579
22,5,8,-1,4,-1,-1,0,0,5,12,0,0,0,0,1,579,'North',578
23,5,9,-1,3,-1,-1,0,0,5,12,0,0,0,0,1,578,'East',577
24,6,9,-1,4,-1,-1,0,0,5,12,0,0,0,0,1,577,'North',576
25,6,10,-1,3,-1,-1,0,0,5,12,0,0,0,0,1,576,'North',575
26,6,11,-1,2,-1,-1,0,0,5,12,0,0,0,0,1,575,'North',574
27,6,12,-1,1,-1,-1,0,0,5,12,0,0,0,0,1,574,'West',0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'Stop',-1
2,12,10,12,8,4,3,4,6,6,12,12,6,13,12,1,-1,'East',-2
3,13,10,14,8,4,3,3,6,6,11,13,6,13,12,1,-2,'North',-3
4,13,11,16,8,4,1,3,5,5,11,13,7,13,13,1,-3,'North',196
5,13,12,17,8,6,-1,3,5,6,11,13,6,0,0,1,196,'North',195
6,13,13,17,9,8,-1,4,5,6,11,13,5,0,0,1,195,'South',194
7,13,12,17,7,8,-1,4,4,6,12,12,5,0,0,1,194,'South',193
8,13,11,17,7,7,-1,3,4,6,11,12,5,0,0,1,193,'South',192
9,13,10,15,7,5,-1,3,5,7,11,12,6,0,0,1,192,'South',191
10,13,9,15,9,5,-1,3,4,7,12,12,5,0,0,1,191,'South',190
11,13,8,15,9,4,-1,2,4,7,11,12,5,0,0,1,190,'South',189
12,13,7,13,11,4,-1,2,5,6,11,12,4,0,0,1,189,'South',188
13,13,6,12,11,4,-1,2,5,6,10,12,3,0,0,1,188,'South',187
14,13,5,12,11,4,-1,2,4,7,10,11,3,0,0,1,187,'South',186
15,13,4,10,13,3,-1,3,4,6,10,11,3,0,0,1,186,'South',185
16,13,3,10,15,1,-1,4,4,6,11,12,3,0,0,1,185,'West',384
17,12,3,8,15,-1,-1,4,3,6,12,0,0,0,0,1,384,'West',383
18,11,3,7,13,-1,-1,4,3,7,12,0,0,0,0,1,383,'West',382
19,10,3,7,11,-1,-1,4,4,7,11,0,0,0,0,1,382,'West',381
20,9,3,7,9,-1,-1,3,4,7,10,0,0,0,0,1,381,'West',380
21,8,3,7,8,-1,-1,3,5,7,10,0,0,0,0,1,380,'West',379
22,7,3,7,8,-1,-1,3,6,8,10,0,0,0,0,1,379,'West',378
23,6,3,5,10,-1,-1,4,6,8,11,0,0,0,0,1,378,'West',377
24,5,3,4,12,-1,-1,4,6,9,11,0,0,0,0,1,377,'North',376
25,5,4,3,10,-1,-1,4,6,8,11,0,0,0,0,1,376,'North',375
26,5,5,1,9,-1,-1,5,6,8,11,0,0,0,0,1,375,'West',374
27,4,5,2,9,-1,-1,5,6,8,10,0,0,0,0,1,374,'West',373
28,3,5,4,10,-1,-1,5,7,8,10,0,0,0,0,1,373,'North',372
29,3,6,2,10,-1,-1,5,6,8,11,0,0,0,0,1,372,'North',371
30,3,7,2,10,-1,-1,5,7,8,12,0,0,0,0,1,371,'East',370
31,4,7,2,8,-1,-1,6,7,7,12,0,0,0,0,1,370,'East',369
32,5,7,1,6,-1,-1,6,7,6,12,0,0,0,0,1,369,'East',568
33,6,7,-1,6,-1,-1,0,0,7,12,0,0,0,0,1,568,'East',567
34,7,7,-1,6,-1,-1,0,0,8,12,0,0,0,0,1,567,'North',566
35,7,8,-1,4,-1,-1,0,0,8,11,0,0,0,0,1,566,'North',565
36,7,9,-1,2,-1,-1,0,0,8,10,0,0,0,0,1,565,'North',0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'Stop',-1
2,12,10,10,8,4,2,6,6,6,12,12,6,13,12,1,-1,'Stop',-2
3,12,10,11,7,5,3,5,6,6,11,11,6,13,11,1,-2,'East',-3
4,13,10,11,7,5,3,5,7,6,10,12,6,14,11,1,-3,'East',-4
5,14,10,13,7,7,3,4,7,7,10,11,6,14,12,1,-4,'North',-5
6,14,11,15,7,9,1,4,6,8,10,11,5,13,12,1,-5,'North',-6
7,14,12,15,7,11,3,4,7,8,11,11,4,13,11,1,-6,'West',-7
8,13,12,14,5,9,3,4,7,8,12,11,5,12,11,1,-7,'South',-8
9,13,11,12,7,7,3,5,7,7,12,11,6,12,10,1,-8,'South',-9
10,13,10,10,8,7,3,5,8,7,12,10,6,11,10,1,-9,'West',-10
11,12,10,10,8,7,3,4,8,7,13,10,5,11,9,1,-10,'West',-11
12,11,10,10,8,6,3,4,7,6,13,10,5,10,9,1,-11,'West',-12
13,10,10,10,6,4,2,4,6,6,12,10,6,10,8,1,-12,'South',-13
14,10,9,8,6,2,2,4,7,7,12,10,7,10,8,1,-13,'South',-14
15,10,8,6,7,2,1,4,8,7,12,9,7,11,8,1,-14,'South',-15
16,10,7,8,7,1,2,3,8,7,11,9,7,11,8,1,-15,'East',184
17,11,7,8,8,3,-1,3,7,7,11,8,7,0,0,1,184,'North',183
18,11,8,10,7,5,-1,2,7,7,11,8,6,0,0,1,183,'North',182
19,11,9,10,7,7,-1,2,8,6,11,7,6,0,0,1,182,'South',181
20,11,8,9,7,5,-1,2,8,6,10,8,6,0,0,1,181,'South',180
21,11,7,9,7,3,-1,2,7,7,10,8,7,0,0,1,180,'West',179
22,10,7,9,5,1,-1,2,6,8,10,9,7,0,0,1,179,'West',378
23,9,7,7,3,-1,-1,3,6,8,9,0,0,0,0,1,378,'West',377
24,8,7,6,3,-1,-1,3,6,9,9,0,0,0,0,1,377,'West',376
25,7,7,5,5,-1,-1,3,6,9,10,0,0,0,0,1,376,'North',375
26,7,8,7,3,-1,-1,3,5,9,9,0,0,0,0,1,375,'East',374
27,8,8,9,3,-1,-1,2,5,9,10,0,0,0,0,1,374,'East',373
28,9,8,11,2,-1,-1,2,4,9,10,0,0,0,0,1,373,'North',572
29,9,9,12,-1,-1,-1,2,4,0,0,0,0,0,0,1,572,'North',571
30,9,10,12,-1,-1,-1,2,5,0,0,0,0,0,0,1,571,'South',570
31,9,9,10,-1,-1,-1,3,5,0,0,0,0,0,0,1,570,'South',569
32,9,8,10,-1,-1,-1,2,5,0,0,0,0,0,0,1,569,'West',568
33,8,8,10,-1,-1,-1,1,5,0,0,0,0,0,0,1,568,'West',567
34,7,8,8,-1,-1,-1,1,6,0,0,0,0,0,0,1,567,'West',566
35,6,8,6,-1,-1,-1,1,7,0,0,0,0,0,0,1,566,'West',565
36,5,8,4,-1,-1,-1,1,8,0,0,0,0,0,0,1,565,'West',564
37,4,8,2,-1,-1,-1,2,8,0,0,0,0,0,0,1,564,'West',563
38,3,8,2,-1,-1,-1,2,9,0,0,0,0,0,0,1,563,'West',562
39,2,8,1,-1,-1,-1,2,9,0,0,0,0,0,0,1,562,'West',561
40,1,8,3,-1,-1,-1,3,9,0,0,0,0,0,0,1,561,'North',560
41,1,9,2,-1,-1,-1,3,9,0,0,0,0,0,0,1,560,'Stop',559
42,1,9,1,-1,-1,-1,2,9,0,0,0,0,0,0,1,559,'East',0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'Stop',-1
2,12,10,10,8,6,4,6,6,6,12,13,5,13,12,1,-1,'Stop',-2
3,12,10,9,7,7,4,6,7,6,11,14,5,13,13,1,-2,'North',-3
4,12,11,9,6,9,4,6,8,6,11,15,5,13,13,1,-3,'North',-4
5,12,12,10,6,11,4,6,8,6,12,15,4,14,13,1,-4,'North',-5
6,12,13,12,8,12,4,5,8,6,11,15,4,15,13,1,-5,'East',-6
7,13,13,12,8,12,3,5,9,7,11,16,4,15,14,1,-6,'East',-7
8,14,13,13,8,10,1,5,9,8,11,16,5,15,14,1,-7,'East',192
9,15,13,15,10,9,-1,5,8,8,10,16,5,0,0,1,192,'North',191
10,15,14,17,11,11,-1,4,8,8,10,16,4,0,0,1,191,'South',190
11,15,13,15,10,10,-1,4,9,8,10,16,4,0,0,1,190,'South',189
12,15,12,15,9,9,-1,4,8,8,10,16,4,0,0,1,189,'South',188
13,15,11,15,7,7,-1,3,8,8,11,15,4,0,0,1,188,'South',187
14,15,10,15,7,7,-1,2,8,8,10,14,4,0,0,1,187,'South',186
15,15,9,15,9,5,-1,1,8,8,11,15,4,0,0,1,186,'South',185
16,15,8,15,9,4,-1,1,7,8,10,15,4,0,0,1,185,'South',184
17,15,7,15,11,4,-1,1,8,8,11,14,4,0,0,1,184,'South',183
18,15,6,15,12,4,-1,2,8,8,11,13,4,0,0,1,183,'South',182
19,15,5,17,12,3,-1,2,9,9,11,13,4,0,0,1,182,'South',181
20,15,4,19,12,2,-1,1,9,9,10,13,4,0,0,1,181,'West',380
21,14,4,18,10,-1,-1,1,9,10,10,0,0,0,0,1,380,'West',379
22,13,4,16,8,-1,-1,2,9,11,10,0,0,0,0,1,379,'West',378
23,12,4,14,8,-1,-1,3,9,10,10,0,0,0,0,1,378,'North',377
24,12,5,13,8,-1,-1,3,9,9,10,0,0,0,0,1,377,'North',376
25,12,6,12,6,-1,-1,3,9,9,9,0,0,0,0,1,376,'North',375
26,12,7,10,5,-1,-1,3,8,9,9,0,0,0,0,1,375,'North',374
27,12,8,8,4,-1,-1,4,8,9,9,0,0,0,0,1,374,'West',373
28,11,8,8,2,-1,-1,3,8,9,8,0,0,0,0,1,373,'West',572
29,10,8,8,-1,-1,-1,3,7,0,0,0,0,0,0,1,572,'North',571
30,10,9,10,-1,-1,-1,2,7,0,0,0,0,0,0,1,571,'West',570
31,9,9,10,-1,-1,-1,1,7,0,0,0,0,0,0,1,570,'West',569
32,8,9,8,-1,-1,-1,1,8,0,0,0,0,0,0,1,569,'West',568
33,7,9,8,-1,-1,-1,1,7,0,0,0,0,0,0,1,568,'West',567
34,6,9,6,-1,-1,-1,2,7,0,0,0,0,0,0,1,567,'West',566
35,5,9,5,-1,-1,-1,2,7,0,0,0,0,0,0,1,566,'West',565
36,4,9,5,-1,-1,-1,2,6,0,0,0,0,0,0,1,565,'West',564
37,3,9,3,-1,-1,-1,3,6,0,0,0,0,0,0,1,564,'South',563
38,3,8,3,-1,-1,-1,3,5,0,0,0,0,0,0,1,563,'South',562
39,3,7,2,-1,-1,-1,3,5,0,0,0,0,0,0,1,562,'South',561
40,3,6,1,-1,-1,-1,3,5,0,0,0,0,0,0,1,561,'South',0
1,1,18,13,25,28,29,5,9,11,3,17,6,25,13,0,0,'Stop',-1
2,1,18,13,25,28,29,5,9,11,3,17,6,25,13,0,-1,'Stop',-2
3,1,18,13,25,28,29,5,9,11,3,17,6,25,13,0,-2,'South',-3
4,1,17,12,24,27,28,5,9,11,3,17,6,25,13,0,-3,'South',-4
5,1,16,11,23,26,27,5,9,11,3,17,6,25,13,0,-4,'South',-5
6,1,15,10,22,25,26,5,9,11,3,17,6,25,13,0,-5,'South',-6
7,1,14,9,21,24,25,5,9,11,3,17,6,25,13,0,-6,'South',-7
8,1,13,8,20,23,24,5,9,11,3,17,6,25,13,0,-7,'South',-8
9,1,12,7,19,22,25,5,9,11,3,17,6,25,13,0,-8,'South',-9
10,1,11,6,18,21,26,5,9,11,3,17,6,25,13,0,-9,'South',-10
11,1,10,5,17,20,27,5,9,11,3,17,6,25,13,0,-10,'South',-11
12,1,9,4,16,19,28,5,9,11,3,17,6,25,13,0,-11,'South',-12
13,1,8,5,15,18,29,5,9,11,3,17,6,25,13,0,-12,'South',-13
14,1,7,6,14,17,30,5,9,11,3,17,6,25,13,0,-13,'South',-14
15,1,6,7,13,16,31,5,9,11,3,17,6,25,13,0,-14,'East',-15
16,2,6,6,12,15,30,5,9,11,3,17,6,25,13,0,-15,'East',-16
17,3,6,5,11,14,29,5,9,11,3,17,6,25,13,0,-16,'East',-17
18,4,6,4,10,13,28,5,9,11,3,17,6,25,13,0,-17,'North',-18
19,4,7,3,11,14,27,5,9,11,3,17,6,25,13,0,-18,'North',-19
20,4,8,2,12,15,26,5,9,11,3,17,6,25,13,0,-19,'East',-20
21,5,8,1,11,14,25,5,9,11,3,17,6,25,13,0,-20,'East',-21
22,6,8,2,10,13,24,5,9,11,3,17,6,25,13,0,-21,'North',-22
23,6,9,1,11,14,23,5,9,11,3,17,6,25,13,0,-22,'West',177
24,5,9,-1,12,15,24,0,0,11,3,17,6,25,13,0,177,'South',176
25,5,8,-1,11,14,25,0,0,11,3,17,6,25,13,0,176,'South',175
26,5,7,-1,10,13,26,0,0,11,3,17,6,25,13,0,175,'South',174
27,5,6,-1,9,12,27,0,0,11,3,17,6,25,13,0,174,'South',173
28,5,5,-1,8,13,28,0,0,11,3,17,6,25,13,0,173,'South',172
29,5,4,-1,7,14,29,0,0,11,3,17,6,25,13,0,172,'South',171
30,5,3,-1,6,15,30,0,0,11,3,17,6,25,13,0,171,'East',170
31,6,3,-1,5,14,29,0,0,11,3,17,6,25,13,0,170,'East',169
32,7,3,-1,4,13,28,0,0,11,3,17,6,25,13,0,169,'East',168
33,8,3,-1,3,12,27,0,0,11,3,17,6,25,13,0,168,'East',167
34,9,3,-1,2,11,26,0,0,11,3,17,6,25,13,0,167,'East',166
35,10,3,-1,1,10,25,0,0,11,3,17,6,25,13,0,166,'East',365
36,11,3,-1,-1,9,24,0,0,0,0,17,6,25,13,0,365,'North',364
37,11,4,-1,-1,8,23,0,0,0,0,17,6,25,13,0,364,'North',363
38,11,5,-1,-1,7,22,0,0,0,0,17,6,25,13,0,363,'North',362
39,11,6,-1,-1,6,21,0,0,0,0,17,6,25,13,0,362,'North',361
40,11,7,-1,-1,7,20,0,0,0,0,17,6,25,13,0,361,'North',360
41,11,8,-1,-1,8,19,0,0,0,0,17,6,25,13,0,360,'North',359
42,11,9,-1,-1,9,18,0,0,0,0,17,6,25,13,0,359,'North',358
43,11,10,-1,-1,10,17,0,0,0,0,17,6,25,13,0,358,'North',357
44,11,11,-1,-1,11,16,0,0,0,0,17,6,25,13,0,357,'North',356
45,11,12,-1,-1,12,15,0,0,0,0,17,6,25,13,0,356,'East',355
46,12,12,-1,-1,11,14,0,0,0,0,17,6,25,13,0,355,'East',354
47,13,12,-1,-1,10,13,0,0,0,0,17,6,25,13,0,354,'East',353
48,14,12,-1,-1,9,12,0,0,0,0,17,6,25,13,0,353,'South',352
49,14,11,-1,-1,8,13,0,0,0,0,17,6,25,13,0,352,'South',351
50,14,10,-1,-1,7,14,0,0,0,0,17,6,25,13,0,351,'South',350
51,14,9,-1,-1,6,15,0,0,0,0,17,6,25,13,0,350,'South',349
52,14,8,-1,-1,5,16,0,0,0,0,17,6,25,13,0,349,'South',348
53,14,7,-1,-1,4,17,0,0,0,0,17,6,25,13,0,348,'South',347
54,14,6,-1,-1,3,18,0,0,0,0,17,6,25,13,0,347,'East',346
55,15,6,-1,-1,2,17,0,0,0,0,17,6,25,13,0,346,'East',345
56,16,6,-1,-1,1,16,0,0,0,0,17,6,25,13,0,345,'East',544
57,17,6,-1,-1,-1,15,0,0,0,0,0,0,25,13,0,544,'East',543
58,18,6,-1,-1,-1,14,0,0,0,0,0,0,25,13,0,543,'East',542
59,19,6,-1,-1,-1,13,0,0,0,0,0,0,25,13,0,542,'East',541
60,20,6,-1,-1,-1,12,0,0,0,0,0,0,25,13,0,541,'East',540
61,21,6,-1,-1,-1,11,0,0,0,0,0,0,25,13,0,540,'East',539
62,22,6,-1,-1,-1,10,0,0,0,0,0,0,25,13,0,539,'East',538
63,23,6,-1,-1,-1,9,0,0,0,0,0,0,25,13,0,538,'North',537
64,23,7,-1,-1,-1,8,0,0,0,0,0,0,25,13,0,537,'North',536
65,23,8,-1,-1,-1,7,0,0,0,0,0,0,25,13,0,536,'North',535
66,23,9,-1,-1,-1,6,0,0,0,0,0,0,25,13,0,535,'North',534
67,23,10,-1,-1,-1,5,0,0,0,0,0,0,25,13,0,534,'West',533
68,22,10,-1,-1,-1,6,0,0,0,0,0,0,25,13,0,533,'West',532
69,21,10,-1,-1,-1,7,0,0,0,0,0,0,25,13,0,532,'West',531
70,20,10,-1,-1,-1,8,0,0,0,0,0,0,25,13,0,531,'North',530
71,20,11,-1,-1,-1,7,0,0,0,0,0,0,25,13,0,530,'North',529
72,20,12,-1,-1,-1,6,0,0,0,0,0,0,25,13,0,529,'North',528
73,20,13,-1,-1,-1,5,0,0,0,0,0,0,25,13,0,528,'North',527
74,20,14,-1,-1,-1,6,0,0,0,0,0,0,25,13,0,527,'North',526
75,20,15,-1,-1,-1,7,0,0,0,0,0,0,25,13,0,526,'East',525
