@relation 'training_kayboard-weka.filters.unsupervised.attribute.Remove-R1,4,10,12,15-16'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Score numeric
@attribute Action {East,North,South,Stop,West}

@data
12,10,9,5,3,5,6,12,6,13,0,Stop
12,10,9,5,3,5,6,12,6,13,-1,Stop
12,10,9,5,3,5,6,12,6,13,-2,East
13,10,10,4,2,5,6,12,6,13,-3,North
13,11,9,5,1,5,6,12,6,13,-4,North
13,12,8,6,-1,5,6,12,6,0,195,South
13,11,9,5,-1,5,6,12,6,0,194,South
13,10,10,4,-1,5,6,12,6,0,193,South
13,9,11,3,-1,5,6,12,6,0,192,South
13,8,12,2,-1,5,6,12,6,0,191,South
13,7,13,1,-1,5,6,12,6,0,190,South
13,6,14,-1,-1,5,6,12,0,0,389,West
12,6,13,-1,-1,5,6,12,0,0,388,West
11,6,12,-1,-1,5,6,12,0,0,387,West
10,6,11,-1,-1,5,6,12,0,0,386,West
9,6,10,-1,-1,5,6,12,0,0,385,West
8,6,9,-1,-1,5,6,12,0,0,384,West
7,6,8,-1,-1,5,6,12,0,0,383,West
6,6,7,-1,-1,5,6,12,0,0,382,West
5,6,6,-1,-1,0,0,12,0,0,581,North
5,7,5,-1,-1,0,0,12,0,0,580,North
5,8,4,-1,-1,0,0,12,0,0,579,North
5,9,3,-1,-1,0,0,12,0,0,578,East
6,9,4,-1,-1,0,0,12,0,0,577,North
6,10,3,-1,-1,0,0,12,0,0,576,North
6,11,2,-1,-1,0,0,12,0,0,575,North
6,12,1,-1,-1,0,0,12,0,0,574,West
12,10,9,5,3,5,6,12,6,13,0,Stop
12,10,8,4,3,4,6,12,6,13,-1,East
13,10,8,4,3,3,6,11,6,13,-2,North
13,11,8,4,1,3,5,11,7,13,-3,North
13,12,8,6,-1,3,5,11,6,0,196,North
13,13,9,8,-1,4,5,11,5,0,195,South
13,12,7,8,-1,4,4,12,5,0,194,South
13,11,7,7,-1,3,4,11,5,0,193,South
13,10,7,5,-1,3,5,11,6,0,192,South
13,9,9,5,-1,3,4,12,5,0,191,South
13,8,9,4,-1,2,4,11,5,0,190,South
13,7,11,4,-1,2,5,11,4,0,189,South
13,6,11,4,-1,2,5,10,3,0,188,South
13,5,11,4,-1,2,4,10,3,0,187,South
13,4,13,3,-1,3,4,10,3,0,186,South
13,3,15,1,-1,4,4,11,3,0,185,West
12,3,15,-1,-1,4,3,12,0,0,384,West
11,3,13,-1,-1,4,3,12,0,0,383,West
10,3,11,-1,-1,4,4,11,0,0,382,West
9,3,9,-1,-1,3,4,10,0,0,381,West
8,3,8,-1,-1,3,5,10,0,0,380,West
7,3,8,-1,-1,3,6,10,0,0,379,West
6,3,10,-1,-1,4,6,11,0,0,378,West
5,3,12,-1,-1,4,6,11,0,0,377,North
5,4,10,-1,-1,4,6,11,0,0,376,North
5,5,9,-1,-1,5,6,11,0,0,375,West
4,5,9,-1,-1,5,6,10,0,0,374,West
3,5,10,-1,-1,5,7,10,0,0,373,North
3,6,10,-1,-1,5,6,11,0,0,372,North
3,7,10,-1,-1,5,7,12,0,0,371,East
4,7,8,-1,-1,6,7,12,0,0,370,East
5,7,6,-1,-1,6,7,12,0,0,369,East
6,7,6,-1,-1,0,0,12,0,0,568,East
7,7,6,-1,-1,0,0,12,0,0,567,North
7,8,4,-1,-1,0,0,11,0,0,566,North
7,9,2,-1,-1,0,0,10,0,0,565,North
12,10,9,5,3,5,6,12,6,13,0,Stop
12,10,8,4,2,6,6,12,6,13,-1,Stop
12,10,7,5,3,5,6,11,6,13,-2,East
13,10,7,5,3,5,7,10,6,14,-3,East
14,10,7,7,3,4,7,10,6,14,-4,North
14,11,7,9,1,4,6,10,5,13,-5,North
14,12,7,11,3,4,7,11,4,13,-6,West
13,12,5,9,3,4,7,12,5,12,-7,South
13,11,7,7,3,5,7,12,6,12,-8,South
13,10,8,7,3,5,8,12,6,11,-9,West
12,10,8,7,3,4,8,13,5,11,-10,West
11,10,8,6,3,4,7,13,5,10,-11,West
10,10,6,4,2,4,6,12,6,10,-12,South
10,9,6,2,2,4,7,12,7,10,-13,South
10,8,7,2,1,4,8,12,7,11,-14,South
10,7,7,1,2,3,8,11,7,11,-15,East
11,7,8,3,-1,3,7,11,7,0,184,North
