@relation training_tutorial1

@attribute NumOfTicks numeric
@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1Dist numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {'East','North','South','West'}
@attribute NextScore numeric
@data
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'East',-1
2,13,10,12,10,4,2,5,6,5,12,13,6,13,12,1,-1,'North',-2
3,13,11,13,9,5,1,5,6,5,12,13,6,13,12,1,-2,'North',197
4,13,12,14,8,6,-1,5,6,5,12,13,6,0,0,1,197,'South',196
5,13,11,13,9,5,-1,5,6,5,12,13,6,0,0,1,196,'South',195
6,13,10,12,10,4,-1,5,6,5,12,13,6,0,0,1,195,'South',194
7,13,9,11,11,3,-1,5,6,5,12,13,6,0,0,1,194,'South',193
8,13,8,10,12,2,-1,5,6,5,12,13,6,0,0,1,193,'South',192
9,13,7,9,13,1,-1,5,6,5,12,13,6,0,0,1,192,'South',391
10,13,6,8,14,-1,-1,5,6,5,12,0,0,0,0,1,391,'West',390
11,12,6,7,13,-1,-1,5,6,5,12,0,0,0,0,1,390,'West',389
12,11,6,6,12,-1,-1,5,6,5,12,0,0,0,0,1,389,'West',388
13,10,6,5,11,-1,-1,5,6,5,12,0,0,0,0,1,388,'West',387
14,9,6,4,10,-1,-1,5,6,5,12,0,0,0,0,1,387,'West',386
15,8,6,3,9,-1,-1,5,6,5,12,0,0,0,0,1,386,'West',385
16,7,6,2,8,-1,-1,5,6,5,12,0,0,0,0,1,385,'West',384
17,6,6,1,7,-1,-1,5,6,5,12,0,0,0,0,1,384,'West',583
18,5,6,-1,6,-1,-1,0,0,5,12,0,0,0,0,1,583,'East',582
19,6,6,-1,7,-1,-1,0,0,5,12,0,0,0,0,1,582,'North',581
20,6,7,-1,6,-1,-1,0,0,5,12,0,0,0,0,1,581,'North',580
21,6,8,-1,5,-1,-1,0,0,5,12,0,0,0,0,1,580,'North',579
22,6,9,-1,4,-1,-1,0,0,5,12,0,0,0,0,1,579,'North',578
23,6,10,-1,3,-1,-1,0,0,5,12,0,0,0,0,1,578,'North',577
24,6,11,-1,2,-1,-1,0,0,5,12,0,0,0,0,1,577,'West',576
25,5,11,-1,1,-1,-1,0,0,5,12,0,0,0,0,1,576,'North',0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'East',-1
2,13,10,11,11,5,1,6,6,4,12,14,6,13,12,1,-1,'North',198
3,13,11,12,9,7,-1,6,6,5,12,15,6,0,0,1,198,'East',197
4,14,11,12,11,5,-1,7,6,5,13,14,6,0,0,1,197,'South',196
5,14,10,12,13,4,-1,7,5,4,13,14,6,0,0,1,196,'South',195
6,14,9,12,15,2,-1,6,5,4,14,14,7,0,0,1,195,'South',194
7,14,8,11,17,1,-1,6,5,3,14,14,7,0,0,1,194,'South',393
8,14,7,11,17,-1,-1,6,4,3,13,0,0,0,0,1,393,'West',392
9,13,7,10,15,-1,-1,6,4,4,13,0,0,0,0,1,392,'West',391
10,12,7,10,13,-1,-1,5,4,4,12,0,0,0,0,1,391,'West',390
11,11,7,8,13,-1,-1,5,5,4,13,0,0,0,0,1,390,'West',389
12,10,7,8,11,-1,-1,5,4,4,12,0,0,0,0,1,389,'West',388
13,9,7,6,9,-1,-1,5,5,5,12,0,0,0,0,1,388,'West',387
14,8,7,6,9,-1,-1,4,5,4,12,0,0,0,0,1,387,'West',386
15,7,7,6,7,-1,-1,3,5,5,12,0,0,0,0,1,386,'West',385
16,6,7,5,5,-1,-1,3,5,6,12,0,0,0,0,1,385,'West',384
17,5,7,3,6,-1,-1,3,6,6,12,0,0,0,0,1,384,'West',383
18,4,7,1,8,-1,-1,4,6,6,13,0,0,0,0,1,383,'South',582
19,4,6,-1,8,-1,-1,0,0,5,13,0,0,0,0,1,582,'East',581
20,5,6,-1,8,-1,-1,0,0,5,14,0,0,0,0,1,581,'East',580
21,6,6,-1,8,-1,-1,0,0,5,13,0,0,0,0,1,580,'North',579
22,6,7,-1,6,-1,-1,0,0,5,12,0,0,0,0,1,579,'North',578
23,6,8,-1,5,-1,-1,0,0,5,12,0,0,0,0,1,578,'North',577
24,6,9,-1,3,-1,-1,0,0,6,12,0,0,0,0,1,577,'North',576
25,6,10,-1,1,-1,-1,0,0,6,11,0,0,0,0,1,576,'North',0
1,12,10,11,9,5,3,5,6,5,12,13,6,13,12,1,0,'East',-1
2,13,10,11,9,4,2,5,7,6,12,13,6,13,12,1,-1,'North',-2
3,13,11,11,7,5,2,6,7,7,12,13,6,13,12,1,-2,'North',-3
4,13,12,11,7,5,2,7,7,7,11,13,7,12,12,1,-3,'West',196
5,12,12,9,5,7,-1,7,8,7,12,13,6,0,0,1,196,'West',195
6,11,12,9,5,9,-1,6,8,7,13,13,5,0,0,1,195,'West',194
7,10,12,9,5,9,-1,6,7,7,14,13,6,0,0,1,194,'West',193
8,9,12,9,4,9,-1,5,7,7,14,12,6,0,0,1,193,'West',192
9,8,12,9,2,10,-1,4,7,8,14,12,6,0,0,1,192,'North',391
10,8,13,11,-1,10,-1,3,7,0,0,12,7,0,0,1,391,'East',390
11,9,13,13,-1,8,-1,3,6,0,0,11,7,0,0,1,390,'East',389
12,10,13,14,-1,6,-1,3,6,0,0,11,8,0,0,1,389,'East',388
13,11,13,14,-1,4,-1,4,6,0,0,11,9,0,0,1,388,'South',387
14,11,12,14,-1,4,-1,3,6,0,0,10,9,0,0,1,387,'West',386
15,10,12,12,-1,4,-1,4,6,0,0,11,9,0,0,1,386,'East',385
16,11,12,14,-1,4,-1,4,5,0,0,10,9,0,0,1,385,'West',384
17,10,12,12,-1,4,-1,5,5,0,0,11,9,0,0,1,384,'East',383
18,11,12,14,-1,4,-1,4,5,0,0,11,8,0,0,1,383,'South',382
19,11,11,12,-1,3,-1,5,5,0,0,11,8,0,0,1,382,'South',381
20,11,10,10,-1,1,-1,6,5,0,0,11,9,0,0,1,381,'South',580
