@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-9,11,13,16-18'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {East,North,South,West}

@data
14,17,10,15,15,15,0,-28,South
14,17,13,15,16,15,0,-28,West
14,17,14,15,21,15,0,-28,South
14,17,13,16,15,18,0,-28,West
15,17,10,15,15,15,0,-27,West
15,17,14,15,16,15,0,-27,West
15,17,13,15,21,15,0,-27,West
15,17,14,16,15,17,0,-27,West
16,17,10,15,15,15,0,-26,West
16,17,14,16,16,16,0,-26,West
16,17,12,15,22,15,0,-26,West
16,17,13,16,15,17,0,-26,West
17,17,10,15,15,15,0,-25,West
17,17,13,16,16,15,0,-25,West
17,17,12,15,22,15,0,-25,West
17,17,13,17,15,17,0,-25,West
18,17,10,15,15,15,0,-24,West
18,17,13,16,16,15,0,-24,West
18,17,11,15,21,15,0,-24,West
18,17,13,17,15,17,0,-24,West
19,17,10,15,15,15,0,-23,West
19,17,14,16,16,15,0,-23,West
19,17,11,15,20,15,0,-23,West
19,17,13,17,15,17,0,-23,West
19,16,10,15,15,15,0,-22,North
19,16,13,16,15,15,0,-22,North
19,16,11,15,20,15,0,-22,North
19,16,12,17,15,18,0,-22,North
19,15,10,15,15,15,0,-21,North
19,15,14,16,15,15,0,-21,North
19,15,12,15,20,15,0,-21,North
19,15,13,17,15,19,0,-21,North
19,14,10,15,15,15,0,-20,North
19,14,14,15,15,15,0,-20,North
19,14,11,15,20,15,0,-20,North
19,14,13,16,15,20,0,-20,North
4,8,4,10,3,6,0,-19,North
6,8,5,10,3,5,0,-19,West
19,13,10,15,15,15,0,-19,North
19,13,13,15,15,15,0,-19,North
19,13,12,15,20,15,0,-19,North
19,13,13,15,15,19,0,-19,North
3,8,4,10,4,6,0,-18,East
5,8,6,10,3,5,0,-18,East
19,12,10,15,15,15,0,-18,North
19,12,14,15,15,15,0,-18,North
19,12,13,15,20,15,0,-18,North
19,12,12,15,15,20,0,-18,North
5,7,5,9,3,6,0,-17,North
4,8,3,10,5,6,0,-17,West
4,8,5,10,3,5,0,-17,East
6,6,6,10,5,6,0,-17,North
19,11,10,15,15,15,0,-17,North
19,11,13,15,15,15,0,-17,North
19,11,14,15,20,15,0,-17,North
19,11,11,15,15,19,0,-17,North
5,7,5,9,3,6,0,-17,North
5,7,5,10,3,5,0,-17,North
5,6,5,9,3,6,0,-16,North
4,7,4,10,5,6,0,-16,North
4,7,4,10,3,4,0,-16,North
5,6,6,9,4,6,0,-16,East
20,11,10,15,15,15,0,-16,West
20,11,12,15,15,15,0,-16,West
20,11,13,15,20,15,0,-16,West
20,11,10,15,15,18,0,-16,West
5,6,5,9,3,6,0,-16,North
5,6,5,10,3,5,0,-16,North
5,6,6,7,4,4,0,-16,East
4,6,5,9,3,6,0,-15,East
4,6,4,10,4,6,0,-15,North
3,7,4,10,3,4,0,-15,East
4,6,5,9,4,6,0,-15,East
21,11,10,15,15,15,0,-15,West
21,11,13,15,15,15,0,-15,West
21,11,12,15,19,15,0,-15,West
21,11,11,15,15,17,0,-15,West
4,6,5,9,3,6,0,-15,East
4,6,5,10,3,5,0,-15,East
4,6,6,7,3,4,0,-15,East
3,6,5,9,3,6,0,-14,East
3,6,5,10,3,6,0,-14,East
3,6,3,10,3,4,0,-14,North
3,6,4,9,4,7,0,-14,East
21,10,10,15,15,15,0,-14,North
21,10,13,15,15,15,0,-14,North
21,10,13,15,19,15,0,-14,North
21,10,12,15,15,17,0,-14,North
3,6,5,9,3,6,0,-14,East
3,6,5,7,8,3,0,-14,East
3,6,6,10,3,6,0,-14,East
3,6,6,8,4,5,0,-14,East
2,6,5,9,3,6,0,-13,East
2,6,5,10,3,6,0,-13,East
2,6,3,9,3,3,0,-13,East
2,6,4,10,4,7,0,-13,East
21,9,10,15,15,15,0,-13,North
21,9,12,15,15,15,0,-13,North
21,9,12,15,18,15,0,-13,North
21,9,12,15,15,17,0,-13,North
2,6,5,9,3,6,0,-13,East
2,6,3,8,3,6,0,-13,East
2,6,5,6,7,3,0,-13,East
2,6,6,9,3,6,0,-13,East
2,6,6,9,4,6,0,-13,East
1,6,5,9,3,6,0,-12,East
1,6,5,10,3,6,0,-12,East
1,6,3,9,3,3,0,-12,East
1,6,4,10,4,6,0,-12,East
21,8,10,15,15,15,0,-12,North
21,8,12,15,15,15,0,-12,North
21,8,12,15,19,15,0,-12,North
21,8,11,15,15,17,0,-12,North
1,6,5,9,3,6,0,-12,East
1,6,3,8,4,6,0,-12,East
1,6,4,6,6,4,0,-12,East
1,6,6,10,4,6,0,-12,East
1,6,5,9,4,6,0,-12,East
1,7,5,9,3,6,0,-11,South
1,7,5,10,3,6,0,-11,South
1,7,4,9,4,4,0,-11,South
1,7,3,10,4,6,0,-11,South
20,8,10,15,15,15,0,-11,East
20,8,11,15,15,16,0,-11,East
20,8,11,15,18,15,0,-11,East
20,8,10,15,16,17,0,-11,East
1,7,5,9,3,6,0,-11,South
1,7,3,7,5,5,0,-11,South
1,7,5,6,6,4,0,-11,South
1,7,6,10,3,6,0,-11,South
1,7,4,9,5,6,0,-11,South
1,8,5,9,3,6,0,-10,South
1,8,5,10,3,5,0,-10,South
1,8,5,9,4,4,0,-10,South
1,8,3,10,3,5,0,-10,South
19,8,10,15,15,15,0,-10,East
19,8,11,15,15,16,0,-10,East
19,8,12,15,17,15,0,-10,East
19,8,10,15,15,17,0,-10,East
1,8,5,9,3,6,0,-10,South
1,8,4,7,4,6,0,-10,South
1,8,6,6,5,3,0,-10,South
1,8,6,10,4,6,0,-10,South
1,8,4,9,5,6,0,-10,South
1,9,5,9,3,6,0,-9,South
1,9,4,10,3,6,0,-9,South
1,9,5,10,4,5,0,-9,South
1,9,3,10,3,5,0,-9,South
18,8,10,15,15,15,0,-9,East
18,8,10,15,15,17,0,-9,East
18,8,12,15,17,15,0,-9,East
18,8,11,15,15,16,0,-9,East
1,9,5,9,3,6,0,-9,South
1,9,4,8,4,6,0,-9,South
1,9,5,6,5,3,0,-9,South
1,9,5,10,3,6,0,-9,South
1,9,4,10,5,6,0,-9,South
1,10,5,9,3,6,0,-8,South
1,10,4,10,3,5,0,-8,South
1,10,4,10,5,5,0,-8,South
1,10,3,10,4,6,0,-8,South
18,7,10,15,15,15,0,-8,North
18,7,10,15,15,17,0,-8,North
18,7,11,15,17,15,0,-8,North
18,7,10,15,15,16,0,-8,North
1,10,5,9,3,6,0,-8,South
1,10,4,7,4,6,0,-8,South
1,10,6,6,4,3,0,-8,South
1,10,5,9,3,6,0,-8,South
1,10,3,10,5,6,0,-8,South
1,11,5,9,3,6,0,-7,South
1,11,3,10,3,5,0,-7,South
1,11,5,10,4,6,0,-7,South
1,11,3,10,3,6,0,-7,South
18,6,10,15,15,15,0,-7,North
18,6,10,15,15,17,0,-7,North
18,6,11,15,17,15,0,-7,North
18,6,11,15,15,16,0,-7,North
1,11,5,9,3,6,0,-7,South
1,11,4,7,4,6,0,-7,South
1,11,6,6,3,4,0,-7,South
1,11,5,9,3,6,0,-7,South
1,11,3,9,5,6,0,-7,South
1,12,5,9,3,6,0,-6,South
1,12,4,10,3,4,0,-6,South
1,12,5,9,4,5,0,-6,South
1,12,3,10,4,6,0,-6,South
18,5,10,15,15,15,0,-6,North
18,5,10,15,15,17,0,-6,North
18,5,10,15,17,15,0,-6,North
18,5,11,15,16,17,0,-6,North
1,12,5,9,3,6,0,-6,South
1,12,4,8,4,6,0,-6,South
1,12,6,7,3,4,0,-6,South
1,12,5,10,3,6,0,-6,South
1,12,3,8,4,6,0,-6,South
1,13,5,9,3,6,0,-5,South
1,13,5,10,3,5,0,-5,South
1,13,5,9,4,5,0,-5,South
1,13,4,10,5,6,0,-5,South
17,5,10,15,15,15,0,-5,East
17,5,10,15,15,17,0,-5,East
17,5,10,15,16,15,0,-5,East
17,5,11,15,15,16,0,-5,East
1,13,5,9,3,6,0,-5,South
1,13,3,8,3,6,0,-5,South
1,13,6,8,3,4,0,-5,South
1,13,6,10,3,6,0,-5,South
1,13,3,9,4,6,0,-5,South
1,14,5,9,3,6,0,-4,South
1,14,6,10,3,5,0,-4,South
1,14,4,9,4,5,0,-4,South
1,14,5,10,4,6,0,-4,South
16,5,10,15,15,15,0,-4,East
16,5,10,15,15,17,0,-4,East
16,5,11,15,16,15,0,-4,East
16,5,10,15,15,16,0,-4,East
1,14,5,9,3,6,0,-4,South
1,14,3,9,3,6,0,-4,South
1,14,6,7,3,4,0,-4,South
1,14,5,10,3,6,0,-4,South
1,14,3,10,5,6,0,-4,South
1,15,5,9,3,6,0,-3,South
1,15,6,9,3,4,0,-3,South
1,15,5,9,3,5,0,-3,South
1,15,5,9,4,6,0,-3,South
15,5,10,15,15,15,0,-3,East
15,5,11,15,16,16,0,-3,East
15,5,11,15,16,15,0,-3,East
15,5,10,15,15,16,0,-3,East
1,15,5,9,3,6,0,-3,South
1,15,4,9,4,6,0,-3,South
1,15,6,8,3,5,0,-3,South
1,15,5,10,3,6,0,-3,South
1,15,3,10,5,6,0,-3,South
13,11,6,7,12,6,1,-2,North
1,16,5,9,3,6,0,-2,South
1,16,6,9,3,5,0,-2,South
1,16,5,10,3,5,0,-2,South
1,16,5,10,4,6,0,-2,South
15,4,10,15,15,15,0,-2,North
15,4,10,15,15,16,0,-2,North
15,4,10,15,15,15,0,-2,North
15,4,11,15,15,15,0,-2,North
1,16,5,9,3,6,0,-2,South
1,16,5,9,4,6,0,-2,South
1,16,6,8,3,5,0,-2,South
1,16,4,10,4,6,0,-2,South
1,16,4,10,4,6,0,-2,South
13,10,5,6,12,6,1,-1,North
13,10,5,7,12,6,1,-1,North
13,10,5,7,12,6,1,-1,North
1,17,5,9,3,6,0,-1,South
1,17,5,9,3,6,0,-1,South
1,17,5,10,3,6,0,-1,South
1,17,5,10,4,6,0,-1,South
5,12,9,3,7,12,121,-1,East
5,12,8,3,8,12,121,-1,East
5,12,10,3,8,12,121,-1,East
5,12,9,4,7,12,121,-1,East
15,3,10,15,15,15,0,-1,North
15,3,10,15,15,15,0,-1,North
15,3,10,15,15,15,0,-1,North
